Beitrittsdatum,Name,Abgeschlossen
"13.09.2021, 11:09:31",The Brooks Game Changer - Munich,false
"14.09.2021, 18:00:55",First Month Streak Challenge,false
"15.09.2021, 08:12:03",The Ultra Night Run Challenge,true
"15.09.2021, 08:12:33",The Brooks Daily Champion - Rome,false
"15.09.2021, 08:12:36",Virtual Brave Like Gabe 5K,true
"20.09.2021, 11:52:40",National Trust - Move for trees,true
"20.09.2021, 11:52:41",Julbo Ultimate Challenge,true
"24.09.2021, 08:14:50",October 5k,true
"24.09.2021, 08:14:51",October 10k,true
"24.09.2021, 08:15:00",October Cycling Distance Challenge,false
"24.09.2021, 08:15:02",October Running Challenge,false
"24.09.2021, 08:15:04",October Walking Challenge,false
"24.09.2021, 08:15:06",HOKA All Racers Challenge,true
"24.09.2021, 08:15:07",dhb Beat The Chill,false
"24.09.2021, 08:15:09",October Running Endurance Challenge,false
"24.09.2021, 08:15:10",October Running Distance Challenge,false
"24.09.2021, 08:15:12",October Half Marathon,true
"24.09.2021, 08:15:14",October Cycling Climbing Challenge,false
"24.09.2021, 08:15:15",October Cycling Consistency Challenge,false
"24.09.2021, 08:15:17",October Run Climbing Challenge,false
"24.09.2021, 08:15:19",October Cycling Challenge,false
"24.09.2021, 08:15:26",October Gran Fondo,false
"24.09.2021, 08:15:29",ROKA x The Pink Fund Challenge,true
"24.09.2021, 08:15:30",Wiggle X Woolmark Autumn Warm-Up 300,true
"24.09.2021, 08:16:11",Red Bull Hill Seekers,false
"24.09.2021, 19:52:21",Runners Need & Brooks Run For You,true
"24.09.2021, 19:52:22",Hydro Flask Let's Go! Challenge,true
"24.09.2021, 19:52:24",Strava Summit Series: Snowdon,false
"24.09.2021, 19:52:25",Samsung UK Galaxy Watch4 Challenge,true
"24.09.2021, 19:52:28",Gatorade 3x4 Challenge,false
"24.09.2021, 19:52:34",Continental Raising Heartbeats Challenge,true
"24.09.2021, 19:52:37",PowerBar – Together for Change,true
"24.09.2021, 19:52:38",Chris Froome x Best Buddies Challenge,false
"25.09.2021, 16:39:41",Broken Arrow Skyrace: Stairway to Heaven,false
"25.09.2021, 16:39:42",Broken Arrow Skyrace: Broken Heart,false
"25.09.2021, 16:39:44",HOKA All Racers Challenge - Lyon,false
"27.09.2021, 19:35:01",Go Get Lost by Black Sheep,false
