Reaktionsdatum,Reaktionstyp,Übergeordneter Typ,Übergeordnete ID
"15.04.2020, 11:08:07",Kudos,Aktivität,3294083879
"16.04.2020, 05:53:36",Kudos,Aktivität,3302915661
"16.04.2020, 05:54:28",Kudos,Aktivität,3304133675
"16.04.2020, 05:54:56",Kudos,Aktivität,3302365335
"20.04.2020, 12:56:20",Kudos,Aktivität,3320589941
"20.04.2020, 12:56:30",Kudos,Aktivität,3321598935
"20.04.2020, 12:56:56",Kudos,Aktivität,3320524505
"21.04.2020, 17:53:28",Kudos,Aktivität,3329781236
"21.04.2020, 17:53:31",Kudos,Aktivität,3329764557
"21.04.2020, 17:53:37",Kudos,Aktivität,3326474008
"21.04.2020, 17:54:44",Kudos,Aktivität,3331190142
"24.04.2020, 05:39:24",Kudos,Aktivität,3341935876
"24.04.2020, 05:39:39",Kudos,Aktivität,3342357295
"24.04.2020, 05:39:49",Kudos,Aktivität,3341539592
"24.04.2020, 05:40:02",Kudos,Aktivität,3340406101
"24.04.2020, 18:42:07",Kudos,Aktivität,3347224263
"24.04.2020, 18:42:11",Kudos,Aktivität,3347096289
"24.04.2020, 18:42:13",Kudos,Aktivität,3345082733
"25.04.2020, 20:33:36",Kudos,Aktivität,3351209505
"26.04.2020, 19:53:47",Kudos,Aktivität,3357821090
"26.04.2020, 19:53:49",Kudos,Aktivität,3357794691
"26.04.2020, 19:54:11",Kudos,Aktivität,3356616544
"26.04.2020, 19:54:21",Kudos,Aktivität,3356614660
"26.04.2020, 19:54:25",Kudos,Aktivität,3357645596
"26.04.2020, 19:54:29",Kudos,Aktivität,3356614981
"26.04.2020, 19:54:30",Kudos,Aktivität,3357647806
"26.04.2020, 19:54:32",Kudos,Aktivität,3357921032
"26.04.2020, 19:54:34",Kudos,Aktivität,3357682945
"27.04.2020, 13:24:10",Kudos,Aktivität,3359870157
"29.04.2020, 15:48:09",Kudos,Aktivität,3368089258
"04.05.2020, 12:03:43",Kudos,Aktivität,3392144895
"04.05.2020, 12:03:53",Kudos,Aktivität,3395093031
"04.05.2020, 12:04:32",Kudos,Beitrag,9360833
"04.05.2020, 12:05:46",Kudos,Aktivität,3391393829
"04.05.2020, 12:06:51",Kudos,Aktivität,3384327932
"16.05.2020, 13:10:43",Kudos,Aktivität,3458843067
"16.05.2020, 13:11:00",Kudos,Aktivität,3458236895
"24.05.2020, 20:58:21",Kudos,Aktivität,3505448672
"06.06.2020, 13:45:51",Kudos,Aktivität,3570787626
"07.06.2020, 10:43:43",Kudos,Aktivität,3570775800
"07.06.2020, 10:44:11",Kudos,Aktivität,3570338510
"14.06.2020, 20:33:16",Kudos,Aktivität,3609742077
"16.06.2020, 15:30:44",Kudos,Aktivität,3617156128
"23.06.2020, 19:51:38",Kudos,Aktivität,3660510938
"23.06.2020, 19:51:54",Kudos,Aktivität,3658774336
"23.06.2020, 19:52:03",Kudos,Aktivität,3658067748
"23.06.2020, 19:52:09",Kudos,Aktivität,3660272968
"23.06.2020, 19:52:12",Kudos,Aktivität,3657920483
"23.06.2020, 19:52:19",Kudos,Aktivität,3660118518
"24.06.2020, 11:13:25",Kudos,Aktivität,3662290308
"24.06.2020, 11:13:27",Kudos,Aktivität,3662188292
"29.06.2020, 10:18:16",Kudos,Aktivität,3684711561
"29.06.2020, 12:32:00",Kudos,Aktivität,3687527953
"29.06.2020, 12:32:20",Kudos,Aktivität,3686100641
"29.06.2020, 12:32:28",Kudos,Aktivität,3684921945
"29.06.2020, 12:32:49",Kudos,Aktivität,3686075662
"29.06.2020, 12:33:20",Kudos,Aktivität,3684292174
"30.06.2020, 12:42:24",Kudos,Aktivität,3692203129
"01.07.2020, 11:57:34",Kudos,Aktivität,3694984703
"03.07.2020, 16:27:34",Kudos,Aktivität,3706639499
"03.07.2020, 16:27:36",Kudos,Aktivität,3703747480
"03.07.2020, 16:27:51",Kudos,Aktivität,3706754765
"03.07.2020, 16:27:59",Kudos,Aktivität,3705587086
"05.07.2020, 09:42:41",Kudos,Aktivität,3713567567
"07.07.2020, 05:14:01",Kudos,Aktivität,3718209017
"07.07.2020, 05:14:28",Kudos,Aktivität,3717382173
"15.07.2020, 10:23:04",Kudos,Aktivität,3752147084
"15.07.2020, 10:25:09",Kudos,Aktivität,3751888110
"17.07.2020, 05:37:58",Kudos,Aktivität,3772530976
"17.07.2020, 05:38:44",Kudos,Aktivität,3771943726
"17.07.2020, 05:39:17",Kudos,Aktivität,3769686707
"17.07.2020, 05:39:23",Kudos,Aktivität,3769519027
"17.07.2020, 05:39:29",Kudos,Aktivität,3769357575
"18.07.2020, 09:04:36",Kudos,Aktivität,3776120143
"19.07.2020, 20:32:15",Kudos,Aktivität,3784394006
"19.07.2020, 20:32:20",Kudos,Aktivität,3785447197
"19.07.2020, 20:32:39",Kudos,Aktivität,3783058995
"26.07.2020, 13:12:40",Kudos,Aktivität,3814389157
"26.07.2020, 13:13:20",Kudos,Aktivität,3810093647
"26.07.2020, 16:08:30",Kudos,Aktivität,3796880893
"27.07.2020, 13:42:08",Kudos,Aktivität,3812364631
"30.07.2020, 15:28:57",Kudos,Aktivität,3833940433
"30.07.2020, 15:29:05",Kudos,Aktivität,3837525998
"30.07.2020, 15:29:09",Kudos,Aktivität,3837526441
"01.08.2020, 08:49:52",Kudos,Aktivität,3845583710
"01.08.2020, 08:49:57",Kudos,Aktivität,3845583663
"02.08.2020, 18:04:59",Kudos,Aktivität,3850570636
"02.08.2020, 18:05:08",Kudos,Aktivität,3850579984
"02.08.2020, 18:05:17",Kudos,Aktivität,3850581192
"02.08.2020, 18:05:30",Kudos,Aktivität,3850827192
"02.08.2020, 18:05:46",Kudos,Aktivität,3847831725
"02.08.2020, 18:06:14",Kudos,Aktivität,3847525350
"02.08.2020, 18:06:25",Kudos,Aktivität,3847557448
"02.08.2020, 18:06:33",Kudos,Aktivität,3854256139
"02.08.2020, 18:07:04",Kudos,Aktivität,3853795699
